SITE,STAGE,TRANSECT_POINT,NORTHING,EASTING,ENVIRON,DIST_FPL,LOCATION,CAT_Z,CLASS_Z,ACTUAL_Z,FP_Z,DATE,D13C_CH4,D13C_CO2,WATER_T,KH_O2,DT_DZ,WATER_TK,COND,PH,WIND_ONSITE,ORP,REDOX_ORP,CHL,O2_PERCENT,O2,DO2_DZ,DIC,PCO2,DPCO2_DZ,PCH4,DPCH4_DZ,PN2O,KH_PCO2,KH_PCH4,KH_PN2O,D13C_DIC,D18O_O2,O2_Ar,MOX,MPROD,MCARB,INUN_T
AnRe.3,High,3,12.64567,101.14134,Floodplain,1100,Central,6,Sediment,1.75,1.75,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,16.83,12.6,251
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,1,Surface,0.1,3.5,10/4/15 0:00,-40.679,-42.393,28.38,1.1982,-0.185364095,301.53,0.006,6.17,0.6,113.9,Sulfate reduction,9.9,9.7,0.75,-0.153064167,NA,5208.66,937.5368049,227.35,6386.937263,NA,0.031041861,0.001337,0.022058837,NA,NA,NA,1.8,1.8,1.34,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,1,Surface,0.1,3.5,10/4/15 0:00,0.742,-40.684,28.38,1.1982,-0.185364095,301.53,0.006,6.17,0.6,113.9,Sulfate reduction,9.9,9.7,0.75,-0.153064167,NA,5597.446,937.5368049,151.14,6386.937263,NA,0.031041861,0.001337,0.022058837,NA,NA,NA,-2.86,-2.86,-2.14,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,1,Surface,0.1,3.5,10/4/15 0:00,6.876,-39.703,28.38,1.1982,-0.185364095,301.53,0.006,6.17,0.6,113.9,Sulfate reduction,9.9,9.7,0.75,-0.153064167,NA,5687.92,937.5368049,142.42,6386.937263,NA,0.031041861,0.001337,0.022058837,NA,NA,NA,-3.43,-3.43,-2.57,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,2,NA,0.5,3.5,10/4/15 0:00,-20.48,-38.211,28.26,1.1982,-0.185364095,301.41,0.006,6.16,0.6,111.8,Sulfate reduction,9.3,6.5,0.51,-0.153064167,NA,5250.409,937.5368049,181.01,6386.937263,NA,0.031137452,0.00134,0.02213106,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,2,NA,0.5,3.5,10/4/15 0:00,-21.516,-38.279,28.26,1.1982,-0.185364095,301.41,0.006,6.16,0.6,111.8,Sulfate reduction,9.3,6.5,0.51,-0.153064167,NA,5446.655,937.5368049,195.43,6386.937263,NA,0.031137452,0.00134,0.02213106,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,2,NA,0.5,3.5,10/4/15 0:00,-20.23,-39.191,28.26,1.1982,-0.185364095,301.41,0.006,6.16,0.6,111.8,Sulfate reduction,9.3,6.5,0.51,-0.153064167,NA,5635.997,937.5368049,168.24,6386.937263,NA,0.031137452,0.00134,0.02213106,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,3,NA,1,3.5,10/4/15 0:00,-43.191,-41.89,28.12,1.1982,-0.185364095,301.27,0.006,6.08,0.6,-107.5,Sulfate reduction,7.1,3.8,0.3,-0.153064167,NA,6669.898,937.5368049,2598.15,6386.937263,NA,0.031249583,0.001343,0.022215786,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,3,NA,1,3.5,10/4/15 0:00,-43.491,-42.161,28.12,1.1982,-0.185364095,301.27,0.006,6.08,0.6,-107.5,Sulfate reduction,7.1,3.8,0.3,-0.153064167,NA,6818.577,937.5368049,2878.03,6386.937263,NA,0.031249583,0.001343,0.022215786,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,3,NA,1,3.5,10/4/15 0:00,-43.003,-41.177,28.12,1.1982,-0.185364095,301.27,0.006,6.08,0.6,-107.5,Sulfate reduction,7.1,3.8,0.3,-0.153064167,NA,6411.164,937.5368049,2574.42,6386.937263,NA,0.031249583,0.001343,0.022215786,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,4,NA,2,3.5,10/4/15 0:00,-49.296,-51.194,27.91,1.21633,-0.185364095,301.06,0.006,6.07,0.6,-168.5,Methanogenesis,6.2,3.3,0.26,-0.153064167,NA,7200.04,937.5368049,8908.49,6386.937263,NA,0.031419019,0.001347,0.022343824,NA,NA,NA,NA,NA,NA,166
AnRe.4,High,4,12.64003,104.13542,Floodplain,2010,Central,4,NA,2,3.5,10/4/15 0:00,-49.303,-51.629,27.91,1.21633,-0.185364095,301.06,0.006,6.07,0.6,-168.5,Methanogenesis,6.2,3.3,0.26,-0.153064167,NA,7087.625,937.5368049,8525.31,6386.937263,NA,0.031419019,0.001347,0.022343824,NA,NA,NA,NA,NA,NA,166
