"","f1","f2","f3","f4","f5","f6","f7","f8"
"377",0.05,0.05,0.05,0.1,0.1,0.1,0.15,0.4
"378",0.05,0.05,0.05,0.1,0.1,0.1,0.2,0.35
"379",0.05,0.05,0.05,0.1,0.1,0.1,0.25,0.3
"380",0.05,0.05,0.05,0.1,0.1,0.15,0.15,0.35
"381",0.05,0.05,0.05,0.1,0.1,0.15,0.2,0.3
"382",0.05,0.05,0.05,0.1,0.1,0.15,0.25,0.25
"383",0.05,0.05,0.05,0.1,0.1,0.2,0.2,0.25
"384",0.05,0.05,0.05,0.1,0.15,0.15,0.15,0.3
"385",0.05,0.05,0.05,0.1,0.15,0.15,0.2,0.25
"386",0.05,0.05,0.05,0.1,0.15,0.2,0.2,0.2
"387",0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.25
"388",0.05,0.05,0.05,0.15,0.15,0.15,0.2,0.2
"389",0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.4
"390",0.05,0.05,0.1,0.1,0.1,0.1,0.15,0.35
"391",0.05,0.05,0.1,0.1,0.1,0.1,0.2,0.3
"392",0.05,0.05,0.1,0.1,0.1,0.1,0.25,0.25
"393",0.05,0.05,0.1,0.1,0.1,0.15,0.15,0.3
"394",0.05,0.05,0.1,0.1,0.1,0.15,0.2,0.25
"395",0.05,0.05,0.1,0.1,0.1,0.2,0.2,0.2
"396",0.05,0.05,0.1,0.1,0.15,0.15,0.15,0.25
"397",0.05,0.05,0.1,0.1,0.15,0.15,0.2,0.2
"398",0.05,0.05,0.1,0.15,0.15,0.15,0.15,0.2
"399",0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15
"400",0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.35
"401",0.05,0.1,0.1,0.1,0.1,0.1,0.15,0.3
"402",0.05,0.1,0.1,0.1,0.1,0.1,0.2,0.25
"403",0.05,0.1,0.1,0.1,0.1,0.15,0.15,0.25
"404",0.05,0.1,0.1,0.1,0.1,0.15,0.2,0.2
"405",0.05,0.1,0.1,0.1,0.15,0.15,0.15,0.2
"406",0.05,0.1,0.1,0.15,0.15,0.15,0.15,0.15
"407",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
"408",0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.25
"409",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"410",0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.2
